Y,X,id,obstimeJST,type
38.237,140.175,nowc_20240807070000_20240807070000_liden_148,2024/08/07 15:57:52.410,1
38.119,140.083,nowc_20240807070000_20240807070000_liden_149,2024/08/07 15:57:52.670,0
38.244,140.253,nowc_20240807070000_20240807070000_liden_150,2024/08/07 15:57:52.720,0
38.189,140.321,nowc_20240807070000_20240807070000_liden_151,2024/08/07 15:57:52.720,0
38.236,140.167,nowc_20240807070000_20240807070000_liden_152,2024/08/07 15:57:52.730,0
36.755,139.513,nowc_20240807070000_20240807070000_liden_153,2024/08/07 15:57:52.990,0
36.824,139.483,nowc_20240807070000_20240807070000_liden_154,2024/08/07 15:57:53.430,1
35.735,138.633,nowc_20240807070000_20240807070000_liden_155,2024/08/07 15:57:53.510,0
36.506,139.548,nowc_20240807070000_20240807070000_liden_156,2024/08/07 15:57:57.010,0
35.659,138.629,nowc_20240807070000_20240807070000_liden_157,2024/08/07 15:57:57.250,0
36.645,139.739,nowc_20240807070000_20240807070000_liden_158,2024/08/07 15:57:58.050,0
35.691,138.599,nowc_20240807070000_20240807070000_liden_159,2024/08/07 15:58:01.330,0
36.488,139.611,nowc_20240807070000_20240807070000_liden_160,2024/08/07 15:58:01.490,0
35.97,138.844,nowc_20240807070000_20240807070000_liden_161,2024/08/07 15:58:02.560,0
35.692,138.603,nowc_20240807070000_20240807070000_liden_162,2024/08/07 15:58:04.880,0
35.647,138.64,nowc_20240807070000_20240807070000_liden_163,2024/08/07 15:58:11.640,0
35.714,138.675,nowc_20240807070000_20240807070000_liden_164,2024/08/07 15:58:11.650,1
36.672,139.801,nowc_20240807070000_20240807070000_liden_165,2024/08/07 15:58:18.800,0
36.606,139.533,nowc_20240807070000_20240807070000_liden_166,2024/08/07 15:58:18.810,0
36.648,139.76,nowc_20240807070000_20240807070000_liden_167,2024/08/07 15:58:18.850,0
36.482,139.612,nowc_20240807070000_20240807070000_liden_168,2024/08/07 15:58:19.730,0
35.659,138.614,nowc_20240807070000_20240807070000_liden_169,2024/08/07 15:58:21.680,1
35.73,138.624,nowc_20240807070000_20240807070000_liden_170,2024/08/07 15:58:24.370,0
40.137,140.853,nowc_20240807070000_20240807070000_liden_171,2024/08/07 15:58:25.850,1
36.507,139.616,nowc_20240807070000_20240807070000_liden_172,2024/08/07 15:58:28.120,0
36.66,139.774,nowc_20240807070000_20240807070000_liden_173,2024/08/07 15:58:29.880,0
36.469,139.631,nowc_20240807070000_20240807070000_liden_174,2024/08/07 15:58:30.160,0
36.756,139.583,nowc_20240807070000_20240807070000_liden_175,2024/08/07 15:58:30.490,0
36.732,139.506,nowc_20240807070000_20240807070000_liden_176,2024/08/07 15:58:30.490,0
40.339,140.714,nowc_20240807070000_20240807070000_liden_177,2024/08/07 15:58:30.550,0
38.187,140.11,nowc_20240807070000_20240807070000_liden_178,2024/08/07 15:58:32.760,0
40.213,140.829,nowc_20240807070000_20240807070000_liden_179,2024/08/07 15:58:34.540,0
35.454,138.869,nowc_20240807070000_20240807070000_liden_180,2024/08/07 15:58:38.300,1
35.045,138.099,nowc_20240807070000_20240807070000_liden_181,2024/08/07 15:58:38.630,1
40.227,140.776,nowc_20240807070000_20240807070000_liden_182,2024/08/07 15:58:39.260,0
36.478,139.598,nowc_20240807070000_20240807070000_liden_183,2024/08/07 15:58:39.870,1
35.705,138.679,nowc_20240807070000_20240807070000_liden_184,2024/08/07 15:58:40.050,0
35.708,138.569,nowc_20240807070000_20240807070000_liden_185,2024/08/07 15:58:40.290,0
37.263,139.884,nowc_20240807070000_20240807070000_liden_186,2024/08/07 15:58:41.050,1
37.388,139.765,nowc_20240807070000_20240807070000_liden_187,2024/08/07 15:58:41.060,0
37.259,139.901,nowc_20240807070000_20240807070000_liden_188,2024/08/07 15:58:41.070,0
37.285,139.8,nowc_20240807070000_20240807070000_liden_189,2024/08/07 15:58:41.090,0
37.189,139.937,nowc_20240807070000_20240807070000_liden_190,2024/08/07 15:58:41.090,0
36.497,139.611,nowc_20240807070000_20240807070000_liden_191,2024/08/07 15:58:42.220,1
35.705,138.486,nowc_20240807070000_20240807070000_liden_192,2024/08/07 15:58:46,0
35.88,138.886,nowc_20240807070000_20240807070000_liden_193,2024/08/07 15:58:46.380,0
36.641,139.722,nowc_20240807070000_20240807070000_liden_194,2024/08/07 15:58:46.970,0
36.482,139.625,nowc_20240807070000_20240807070000_liden_195,2024/08/07 15:58:47.050,0
36.638,139.743,nowc_20240807070000_20240807070000_liden_196,2024/08/07 15:58:47.090,1
36.706,139.745,nowc_20240807070000_20240807070000_liden_197,2024/08/07 15:58:47.500,1
40.136,140.788,nowc_20240807070000_20240807070000_liden_198,2024/08/07 15:58:47.680,0
37.199,139.735,nowc_20240807070000_20240807070000_liden_199,2024/08/07 15:58:48.540,1
35.983,138.841,nowc_20240807070000_20240807070000_liden_200,2024/08/07 15:58:49.080,0
36.795,139.494,nowc_20240807070000_20240807070000_liden_201,2024/08/07 15:58:49.990,1
36.48,139.645,nowc_20240807070000_20240807070000_liden_202,2024/08/07 15:58:50.630,0
36.632,139.722,nowc_20240807070000_20240807070000_liden_203,2024/08/07 15:58:55.850,0
35.73,138.646,nowc_20240807070000_20240807070000_liden_204,2024/08/07 15:58:56.990,0
36.489,139.658,nowc_20240807070000_20240807070000_liden_205,2024/08/07 15:58:58.600,0
23.883,125.48,nowc_20240807070000_20240807070000_liden_206,2024/08/07 15:58:59.080,0
35.722,138.607,nowc_20240807070000_20240807070000_liden_207,2024/08/07 15:58:59.350,1
36.684,139.791,nowc_20240807070000_20240807070000_liden_208,2024/08/07 15:58:59.640,1
36.49,139.612,nowc_20240807070000_20240807070000_liden_209,2024/08/07 15:59:03.860,1
35.712,138.632,nowc_20240807070000_20240807070000_liden_210,2024/08/07 15:59:04.930,1
36.01,138.853,nowc_20240807070000_20240807070000_liden_211,2024/08/07 15:59:06.350,0
